# value chi2_total TT EE TTTEEE_lite_native native
8.000000000000000444e-01 3.576519465316646802e+03 2.321464234244109548e+01 3.960922417700456322e+02 3.141726805498317844e+03 1.548577570584232355e+01
9.000000000000000222e-01 1.572106458271853626e+03 2.334089564340484912e+01 3.961038381468856073e+02 1.143670320003916004e+03 8.991404477647213511e+00
9.499999999999999556e-01 1.141906143281318009e+03 2.339920494280278263e+01 3.960914877641795897e+02 7.137843911593130315e+02 8.631059415022415138e+00
9.799999999999999822e-01 1.030989480386467903e+03 2.343182597170931558e+01 3.961262021360276435e+02 6.027367143221567858e+02 8.694737956574208226e+00
9.809999999999999831e-01 1.029090130046574131e+03 2.343305432794306853e+01 3.961262021360276435e+02 6.008338129210047782e+02 8.697060661598683851e+00
9.819999999999999840e-01 1.027137839791189435e+03 2.343433304357222369e+01 3.961287417495484533e+02 5.988725036723269568e+02 8.702261325741829978e+00
9.829999999999999849e-01 1.025365829746425561e+03 2.343447421947178100e+01 3.961217496242674088e+02 5.971039131134285753e+02 8.705692789257870601e+00
9.839999999999999858e-01 1.023732537454955036e+03 2.343572099235990436e+01 3.961217496242674088e+02 5.954648841050722012e+02 8.710182733255541265e+00
9.849999999999999867e-01 1.022271893034351706e+03 2.343672903548895192e+01 3.961217496242674088e+02 5.940008862363283697e+02 8.712528138266970146e+00
9.859999999999999876e-01 1.020770333831150083e+03 2.343787570120980490e+01 3.960993333718390090e+02 5.925162097504976373e+02 8.716915007603541099e+00
9.869999999999999885e-01 1.019449521865595443e+03 2.343890327039792965e+01 3.960967937583182561e+02 5.911924520707817692e+02 8.721372766097509555e+00
9.879999999999999893e-01 1.018170899543215000e+03 2.344030985355311714e+01 3.960956367227241230e+02 5.899086096185830002e+02 8.726343348354713925e+00
9.889999999999999902e-01 1.017108895602712550e+03 2.344137003263148245e+01 3.960981763362448760e+02 5.888394777126453619e+02 8.729871521190815997e+00
9.899999999999999911e-01 1.016091674555302461e+03 2.344184292760547805e+01 3.960956367227241230e+02 5.878200280111287839e+02 8.734166893844063750e+00
9.909999999999999920e-01 1.015078881736914241e+03 2.344342265706097805e+01 3.960963833685202076e+02 5.867986748483347128e+02 8.740400862998365383e+00
9.919999999999999929e-01 1.014256626885498349e+03 2.344460644623990220e+01 3.961053641287534219e+02 5.859617632054075784e+02 8.744893105097482078e+00
9.929999999999999938e-01 1.013534151257817030e+03 2.344571805786523555e+01 3.961079037422741749e+02 5.852314130534858805e+02 8.749116404191694230e+00
9.939999999999999947e-01 1.012922030786222876e+03 2.344670370079802524e+01 3.961053641287534219e+02 5.846153495974165253e+02 8.754613359254946658e+00
9.949999999999999956e-01 1.012520835857159341e+03 2.344780655824854421e+01 3.961053641287534219e+02 5.842098521981408794e+02 8.757812972016514763e+00
9.959999999999999964e-01 1.012026538794782255e+03 2.344926620990457877e+01 3.961079037422741749e+02 5.837059310566727390e+02 8.763437785930809909e+00
9.969999999999999973e-01 1.011868837665542969e+03 2.344947102174216980e+01 3.961237785616718838e+02 5.835289175382835083e+02 8.766670543845464181e+00
9.979999999999999982e-01 1.011563033843459607e+03 2.345064848807390945e+01 3.961237785616718838e+02 5.832167795767541065e+02 8.771827216959771079e+00
9.989999999999999991e-01 1.011551588317619689e+03 2.345195683385139773e+01 3.961237785616718838e+02 5.832002521826771044e+02 8.775600739419324725e+00
1.000000000000000000e+00 1.011538892398510711e+03 2.345306948536148184e+01 3.961237785616718838e+02 5.831810381349151839e+02 8.781006216562072808e+00
1.000999999999999890e+00 1.011639450084367240e+03 2.345409364525562523e+01 3.961237785616718838e+02 5.832749150895342609e+02 8.786662787905509475e+00
1.002000000000000002e+00 1.011852639017325373e+03 2.345518674717675367e+01 3.961428796076290269e+02 5.834630608827009155e+02 8.791511779818581118e+00
1.003000000000000114e+00 1.012158914146448865e+03 2.345669368788963993e+01 3.961428796076290269e+02 5.837627368994194512e+02 8.796603951510698849e+00
1.004000000000000004e+00 1.012467181250663543e+03 2.345792649801762764e+01 3.961428796076290269e+02 5.840630328078611910e+02 8.803342337155703134e+00
1.004999999999999893e+00 1.012972465340730423e+03 2.345837536270533974e+01 3.961584019451055383e+02 5.845480256817670579e+02 8.807662351152485414e+00
1.006000000000000005e+00 1.013593208691846712e+03 2.345948073537897471e+01 3.961584019451055383e+02 5.851620577767641862e+02 8.813268234597959605e+00
1.007000000000000117e+00 1.014394720612179299e+03 2.346033765938767601e+01 3.961584019451055383e+02 5.859594501494813130e+02 8.816530858204759014e+00
1.008000000000000007e+00 1.015181413496356413e+03 2.346119163713967737e+01 3.961680548578536332e+02 5.867307798723559245e+02 8.821387129007087324e+00
1.008999999999999897e+00 1.016061660850508133e+03 2.346225766649422440e+01 3.961643941272923826e+02 5.876065317798851311e+02 8.828477276836327547e+00
1.010000000000000009e+00 1.016873718110771051e+03 2.346353037416594134e+01 3.961617523496801141e+02 5.884156062399237044e+02 8.832829147001389103e+00
1.011000000000000121e+00 1.018111138668675153e+03 2.346495253611777798e+01 3.961617523496801141e+02 5.896469815217651558e+02 8.837452261112114016e+00
1.012000000000000011e+00 1.019325254537447563e+03 2.346591566011170471e+01 3.961617523496801141e+02 5.908548448527869823e+02 8.842741674868742408e+00
1.012999999999999901e+00 1.020491302034367664e+03 2.346650651487931327e+01 3.961617523496801141e+02 5.920131401457493894e+02 8.849903024058932033e+00
1.014000000000000012e+00 1.021858797167326316e+03 2.346772301388551796e+01 3.961573831294231240e+02 5.933785405925250416e+02 8.855150431492688767e+00
1.015000000000000124e+00 1.023315535155038674e+03 2.346885084468624427e+01 3.961573831294231240e+02 5.948288718993270550e+02 8.860429281602293372e+00
1.016000000000000014e+00 1.024882672981460701e+03 2.346994960316339984e+01 3.961599227429438770e+02 5.963864774539982818e+02 8.866323181355170391e+00
1.016999999999999904e+00 1.026524367179014916e+03 2.347107020133779542e+01 3.961580590051783020e+02 5.980236165917314111e+02 8.871621380767503950e+00
1.018000000000000016e+00 1.028402432749624950e+03 2.347204719542088469e+01 3.961670500716228389e+02 5.998884116457953724e+02 8.874923836786011933e+00
1.019000000000000128e+00 1.030257368348788759e+03 2.347343368153792653e+01 3.961670500716228389e+02 6.017364662926478331e+02 8.880418302980151779e+00
1.020000000000000018e+00 1.032221512027862445e+03 2.347442778528193230e+01 3.961670500716228389e+02 6.036943040730657231e+02 8.885730097891915591e+00
1.050000000000000044e+00 1.132488446657291433e+03 2.350444378522792022e+01 3.961689267528228129e+02 7.037604559663959662e+02 9.054620152844762515e+00
1.100000000000000089e+00 1.465032056011545592e+03 2.355275178692289728e+01 3.961492203754889943e+02 1.035951669933670019e+03 9.378413915463617911e+00
1.199999999999999956e+00 2.636372149072629782e+03 2.364216399645732736e+01 3.961815307164196156e+02 2.205708087009509654e+03 1.084036735024297293e+01
