# value chi2_total TT EE TTTEEE_lite_native native
0.000000000000000000e+00 1.011538892398510711e+03 2.345306948536148184e+01 3.961237785616718838e+02 5.831810381349151839e+02 8.781006216562072808e+00
2.000000000000000000e+03 1.713193304281216842e+04 2.344449516091611940e+01 3.961053641287534219e+02 1.632068351633624479e+04 3.916996671862556809e+02
3.000000000000000000e+03 4.716160728693027522e+03 2.344925335312399284e+01 3.961053641287534219e+02 4.199944868721531748e+03 9.666124248961837395e+01
4.000000000000000000e+03 2.233076524975541361e+03 2.345092178904309321e+01 3.961237785616718838e+02 1.775689582161896396e+03 3.781224246293027136e+01
5.999999999999997272e+03 1.251552305957424323e+03 2.345211458510959801e+01 3.961237785616718838e+02 8.174239944807629854e+02 1.455241832987990058e+01
6.554185041430445381e+03 1.178232569307048834e+03 2.345226919943837629e+01 3.961237785616718838e+02 7.458477078322000580e+02 1.280881371373862621e+01
7.159556926218439003e+03 1.126806645717804486e+03 2.345239878455936378e+01 3.961237785616718838e+02 6.956472562927958734e+02 1.158321207877754766e+01
7.820843484848443040e+03 1.090842282946006890e+03 2.345250739065085099e+01 3.961237785616718838e+02 6.605422954341242985e+02 1.072370155955988125e+01
8.543209229960408265e+03 1.065769018196146135e+03 2.345259841296086734e+01 3.961237785616718838e+02 6.360702875456986476e+02 1.012235367581478940e+01
9.332295690136175836e+03 1.048348471062855879e+03 2.345267469756510081e+01 3.961237785616718838e+02 6.190693327621823983e+02 9.702685041436614810e+00
1.019426546908273849e+04 1.036291891963301623e+03 2.345273863011834692e+01 3.961237785616718838e+02 6.073047574890371152e+02 9.410617282474390777e+00
1.113585037430550801e+04 1.027985426780807984e+03 2.345279221027715266e+01 3.961237785616718838e+02 5.992008656023590447e+02 9.207990406499868996e+00
1.216440399114680440e+04 1.022293586108698833e+03 2.345283711409308580e+01 3.961237785616718838e+02 5.936490437231420856e+02 9.067926709791743534e+00
1.328795911278187305e+04 1.018419149558819186e+03 2.345287474634687896e+01 3.961237785616718838e+02 5.898709681444424859e+02 8.971528106357913757e+00
1.451529047468906174e+04 1.015803594420027707e+03 2.345290628443069636e+01 3.961237785616718838e+02 5.873213797857119971e+02 8.905529788213087272e+00
1.585598328353748730e+04 1.014056505329482093e+03 2.345293271513713762e+01 3.961237785616718838e+02 5.856191569023592365e+02 8.860637150313896981e+00
1.732050807568877644e+04 1.012905639710783134e+03 2.345295486550236319e+01 3.961237785616718838e+02 5.844985569374472334e+02 8.830349346161751711e+00
1.892030248994244539e+04 1.012161673556416304e+03 2.345297342866126655e+01 3.961237785616718838e+02 5.837747930467148763e+02 8.810128519368269906e+00
2.066786059315334205e+04 1.011693355636699266e+03 2.345298898552078981e+01 3.961237785616718838e+02 5.833197740467471704e+02 8.796814042759349306e+00
2.257683045633591246e+04 1.011410026049917406e+03 2.345300202292605718e+01 3.961237785616718838e+02 5.830450353780317982e+02 8.788210087287689376e+00
2.466212074330470205e+04 1.011249335870427558e+03 2.345301294888946586e+01 3.961237785616718838e+02 5.828897487461499622e+02 8.782795613716226413e+00
2.694001714428654304e+04 1.011168634145119427e+03 2.345302210535282939e+01 3.961237785616718838e+02 5.828123127698605686e+02 8.779520708234109350e+00
2.942830956382711884e+04 1.011138936936103846e+03 2.345302977888462692e+01 3.961237785616718838e+02 5.827844648576333384e+02 8.777663737913997011e+00
3.214643105630338687e+04 1.011140711740086658e+03 2.345303620964699576e+01 3.961237785616718838e+02 5.827871656722069247e+02 8.776731296560784656e+00
3.511560959409981297e+04 1.011160936512410672e+03 2.345304159890849860e+01 3.961237785616718838e+02 5.828077281293860779e+02 8.776388222444245102e+00
3.835903385372675984e+04 1.011191052376722951e+03 2.345304611534419337e+01 3.961237785616718838e+02 5.828378189732167129e+02 8.776408726490075196e+00
4.190203431463668676e+04 1.011225542037437094e+03 2.345304990031121406e+01 3.961237785616718838e+02 5.828720712519651670e+02 8.776642323488815123e+00
4.577228108508286095e+04 1.011260945590079587e+03 2.345305307227516778e+01 3.961237785616718838e+02 5.829071238248405962e+02 8.776990131291833919e+00
4.999999999999999272e+04 1.011295181568319435e+03 2.345305573051518877e+01 3.961237785616718838e+02 5.829409588536117326e+02 8.777388422520683520e+00
1.000000000000000000e+05 1.011467501343085814e+03 2.345306604663795724e+01 3.961237785616718838e+02 5.831107997015045612e+02 8.779857033271403211e+00
2.000000000000000000e+05 1.011520390394682295e+03 2.345306862567997541e+01 3.961237785616718838e+02 5.831628395886132239e+02 8.780703618717193848e+00
5.000000000000000000e+05 1.011535902764727552e+03 2.345306934781240216e+01 3.961237785616718838e+02 5.831780977399369021e+02 8.780957115306380345e+00
1.000000000000000000e+06 1.011538143943137129e+03 2.345306945097422613e+01 3.961237785616718838e+02 5.831803020137292606e+02 8.780993916761767437e+00
